disease_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Tuberous sclerosis,Areas of skin that are white due to decreased pigment and have eitherash leaf or confetti appearance,Red patches on face containing many blood vessels facial angiofibromas,Raised patches of skin withorangepeel texture shagreen spots often on back,Autism spectrum disorders,Developmental delays,Intellectual disability,Seizures,Pitted tooth enamel,Rough growths under or around fingernails and toenails,Rubbery noncancerous tumors on or around tongue,Lung disease known as lymphangioleiomyomatosis is more common in women,In other people this can lead to shortness of breath coughing blood and lung collapse,Some people have normal intelligence and no seizures,Others have intellectual disabilities or difficulttocontrol seizures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tularemia,Fever chills sweating,Eye irritation conjunctivitis if infection began in eye,Headache,Joint stiffness muscle pain,Red spot on skin growing to becomesore ulcer,Shortness of breath,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tumor,Fever orchills,Fatigue,Loss of appetite,Night sweats,Weight loss,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turner syndrome,Ears are lowset,Neck appears wide or weblike,Roof of mouth is narrow high palate,Hairline at back of head is lower,Lower jaw is lower and appears to fade away recede,Drooping eyelids and dry eyes,Fingers and toes are short,Hands and feet are swollen in infants,Nails are narrow and turn upward,Chest is broad and flat,Nipples appear more widely spaced,Height at birth is often smaller than average,A child with this is much shorter than children who are same age and sex,This problem may not be noticed in girls before age 11,Puberty may be absent or not complete,If puberty occurs it most often begins at normal age,After age of puberty unless treated with female hormonesse findings may be present,Pubic hair is often present and normal,Breast development may not occur,Menstrual periods are absent or very light,Vaginal dryness and pain with intercourse are common,Infertility,Sometimes diagnosis may not be made untiladult,It may be discovered becausewoman has very light or no menstrual periods and problems becoming pregnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turpentine oil poisoning,Blood in urine,Kidney failure no urine produced,Loss of vision,Severe pain in throat,Severe pain or burning in nose eyes ears lips or tongue,Collapse,Low blood pressurethat develops rapidly,Breathing difficulty from breathing in turpentine,Severecough or choking,Throat swelling which may also cause breathing difficulty,Dizziness,Drowsiness,Nervousness,Convulsions seizures,Euphoria feeling of being drunk,Headache,Staggering,Tremors,Unconsciousness,Weakness,Bluish skin color,Burns,Irritation,Blood in stool,Burns of food pipe esophagus,Severe abdominal pain,Vomiting,Vomiting blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin-to-twin transfusion syndrome,Most of time donor twin is smaller than other twin at birth,The infant often has anemia is dehydrated and looks pale,The recipient twin is born larger with redness to skin too much blood andhigher blood pressure,The twin that gets too much blood may develop cardiac failure because of high blood volume,The infant may also need medicine to strengthen heart function,The unequal size of identical twins is referred to as discordant twins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type 1 diabetes,Deep rapid breathing,Dry skin and mouth,Flushed face,Fruity breath odor,Nausea and vomiting inability to keep down fluids,Stomach pain,Low blood sugar hypoglycemia can develop quickly in people with diabetes who are taking insulin,Headache,Hunger,Nervousness irritability,Rapid heartbeat palpitations,Shaking,Sweating,Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type 2 diabetes,Bladder kidney skin or other infections that are more frequent or heal slowly,Fatigue,Hunger,Increased thirst,Increased urination,Blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type V glycogen storage disease,Diagnosis may not occur untilperson is over 20 or 30 years old,Burgundycolored urine myoglobinuria,Fatigue,Exercise intolerance poor stamina,Muscle cramps,Muscle pain,Muscle stiffness,Muscle weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoid fever,Bloody stools,Chills,Agitation confusion delirium seeing or hearing things that are notre hallucinations,Difficulty paying attention attention deficit,Nosebleeds,Severe fatigue,Slow sluggish weak feeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhus,Abdominal pain,Backache,Dull red rash that begins on middle of body and spreads,Fever can be extremely high 105 f to 106f that may last upto 2 weeks,Hacking dry cough,Headache,Joint and muscle pain,Nausea and vomiting,High fever chills,Confusion decreased alertness delirium,Cough,Severe muscle and joint pain,Lights that appear very bright light may hurt eyes,Low blood pressure,Rash that begins on chest and spreads to rest of body except palms of hands and soles of feet,Severe headache,The early rash islight rose color and fades when you press on it,Later rash becomes dull and red and does not fade,People with severe typhus may also develop small areas of bleeding into skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulcerative colitis,Pain in abdomen belly area and cramping,A gurgling or splashing sound heard over intestine,Blood and possibly pus in stools,Diarrhea from onlyfew episodes to very often,Fever,Feeling that you need to pass stools even though your bowels are already empty,It may involve straining pain and cramping tenesmus,Weight loss,Childrens growth may slow,Joint pain and swelling,Mouth sores ulcers,Nausea and vomiting,Skin lumps or ulcers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulnar nerve dysfunction,Abnormal sensations in little finger and part of ring finger usually on palm side,Weakness loss of coordination of fingers,Clawlike deformity of hand and wrist,Pain numbness decreased sensation tingling or burning sensation in areas controlled by nerve,Pain or numbness may awaken you from sleep,Activities such as tennis or golf may make condition worse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbilical hernia,A hernia can vary in width from less than 1 centimeter cm to more than 5 cm,There issoft swelling over belly button that often bulges when baby sits up cries or strains,The bulge may be flat when infant lies on back and is quiet,Umbilical hernias are usually painless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconsciousness - first aid,Amnesia for not remembering events before during and even after period of unconsciousness,Confusion,Drowsiness,Headache,Lightheadedness,Loss of bowel or bladder control incontinence,Rapid heartbeat palpitations,Slow heartbeat,Stupor severe confusion and weakness,Inability to speak,Difficulty breathing,Noisy breathing or highpitched sounds while inhaling,Weak ineffective coughing,Bluish skin color,Being asleep is not same as being unconscious,A sleeping person will respond to loud noises or gentle shakingunconscious person will not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undescended testicle,Absence of testicle in scrotum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unstable angina,Chest pain that you may also feel in shoulder arm jaw neck back or other area,Discomfort that feels like tightness squeezing crushing burning choking or aching,Discomfort that occurs at rest and does not easily go away when you take medicine,Shortness of breath,Sweating,The pain does not occur more often or get worse over time,Unstable angina is chest pain that is sudden and often gets worse overshort period of time,You may be developing unstable angina if chest pain starts to feel different is more severe comes more often or occurs with less activity or while you are at rest lasts longer than 15 to 20 minutes,Occurs without cause for example while you are asleep or sitting quietly,Does not respond well tomedicine called nitroglycerin especially if this medicine worked to relieve chest pain in past,Occurs withdrop in blood pressure or shortness of breath,Unstable angina iswarning sign thatheart attack may happen soon and needs to be treated right away,See your health care provider if you have any type of chest pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPJ obstruction,Back or flank pain,Bloody urine hematuria,Lump in abdomen abdominal mass,Kidney infection,Poor growth in infants failure to thrive,Urinary tract infection usually with fever,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ureterocele,Abdominal pain,Back pain that may be only on one side,Severe side flank pain and spasms that may reach to groin genitals and thigh,Blood in urine,Burning pain while urinating dysuria,Fever,Difficulty starting urine flow or slowing of urine flow,Foulsmelling urine,Frequent and urgent urination,Lump mass in abdomen that can be felt,Ureterocele tissue falls down prolapse through female urethra and into vagina,Urinary incontinence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urethral stricture,Blood in semen,Discharge from urethra,Bloody or dark urine,Strong urge to urinate and frequent urination,Inability to empty bladderurinary retention,Painful urination or difficulty urinating,Loss of bladder control,Increased frequency or urgency to urinate,Pain in lower abdomen and pelvic area,Slow urine stream may develop suddenly or gradually or spraying of urine,Swelling of penis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urethritis,Blood in urine or semen,Burning pain while urinating dysuria,Discharge from penis,Fever rare,Frequent or urgent urination,Itching tenderness or swelling in penis,Enlarged lymph nodes in groin area,Pain with intercourse or ejaculation,Abdominal pain,Burning pain while urinating,Fever and chills,Frequent or urgent urination,Pelvic pain,Pain with intercourse,Vaginal discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urge incontinence,Not being able to control when you pass urine,Having to urinate often during day and night,Needing to urinate suddenly and urgently,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary tract infection - adults,Cloudy or bloody urine which may havefoul or strong odor,Low grade fever in some people,Pain or burning with urination,Pressure or cramping in lower abdomen or back,Strong need to urinate often even right after bladder has been emptied,Chills and shaking or night sweats,Fatigue andgeneral ill feeling,Fever above 101f,Pain in side back or groin,Flushed warm or reddened skin,Nausea and vomiting,Very bad abdominal pain sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary tract infection - children,Blood in urine,Cloudy urine,Foul or strong urine odor,Frequent or urgent need to urinate,General ill feeling malaise,Pain or burning with urination,Pressure or pain in lower pelvis or lower back,Wetting problems after child has been toilet trained,Signs that infection may have spread to kidneys include,Chills with shaking,Fever,Flushed warm or reddened skin,Nausea and vomiting,Pain in side flank or back,Severe pain in belly area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urticaria pigmentosa,Diarrhea,Fainting uncommon,Headache,Wheeze,Rapid heartbeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uterine fibroids,Bleeding between periods,Heavy bleeding during your period sometimes with blood clots,Periods that may last longer than normal,Needing to urinate more often,Pelvic cramping or pain with periods,Feeling fullness or pressure in your lower belly,Pain during intercourse,Your health care provider may findm duringphysical exam or other test,A recent study also showed that some small fibroids shrink in premenopausal women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uterine prolapse,Pressure or heaviness in pelvis or vagina,Problems with sexual intercourse,Leaking urine or sudden urge to empty bladder,Low backache,Uterus and cervix that bulge into vaginal opening,Repeated bladder infections,Vaginal bleeding,Increased vaginal discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uterine sarcoma,Any bleeding that is not part of your menstrual period,Any bleeding that happens after menopause,Most likely bleeding will not be from cancer,But you should always tell your provider about unusual bleeding,Vaginal discharge that does not get better with antibiotics and may occur without bleeding,A mass or lump in vagina or uterus,Having to urinate often,The only way to tell difference between sarcoma and fibroids is with tests such asbiopsy of tissue taken from uterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uveitis,Blurred vision,Dark floating spots in vision,Eye pain,Redness of eye,Sensitivity to light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaginal cancer,Bleeding after having sex,Painless vaginal bleeding and discharge not due to normal period,Pain in pelvis or vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaginal cysts,In some casessoft lump can be felt in vaginal wall or protruding from vagina,Cysts range in size from size ofpea to that oforange,Bartholin cysts can become infected swollen and painful,Some women with vaginal cysts may have discomfort during sex or trouble insertingtampon,Women with cystoceles or rectoceles may feelprotruding bulge pelvic pressure or have difficulty with urination or defecation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaginal dryness,Burning on urination,Light bleeding after intercourse,Painful sexual intercourse,Slight vaginal discharge,Vaginal soreness itching or burning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaginal or uterine bleeding - overview,Bleeding or spotting between periods,Bleeding after sex,Bleeding more heavily passing large clots needing to change protection during night soaking throughsanitary pad or tampon every hour for 2 to 3 hours inrow,Bleeding for more days than normal or for more than 7 days,Menstrual cycle less than 28 days more common or more than 35 days apart,Bleeding after you have gone through menopause,Heavy bleeding associated with anemia low blood count low iron,Bleeding from rectum or blood in urine may be mistaken for vaginal bleeding,To know for certain inserttampon into vagina and check for bleeding,Your record should include when menstruation begins and ends,How much flow you have count numbers of pads and tampons used noting whethery are soaked,Bleeding between periods and after sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaginal yeast infection,Abnormal vaginal discharge,Discharge can range from slightly watery white discharge to thick white and chunky like cottage cheese,Itching and burning of vagina and labia,Pain with intercourse,Painful urination,Redness and swelling of skin just outside of vagina vulva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaginismus,Difficult or painful vaginal penetration during sex,Vaginal penetration may not be possible,Vaginal pain during sexual intercourse orpelvic exam,Women with vaginismus often become anxious about sexual intercourse,This does not meany cannot become sexually aroused,Many women with this problem can have orgasms when clitoris is stimulated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley fever,Ankle feet and leg swelling,Chest pain can vary from mild to severe,Cough possibly producing bloodtinged phlegm sputum,Fever and night sweats,Headache,Joint stiffness and pain or muscle aches,Loss of appetite,Painful red lumps on lower legs erythema nodosum,Rarely infection spreads from lungs through bloodstream to involve skin bones joints lymph nodes and central nervous system or other organs,This spread is called disseminated coccidioidomycosis,People with this more widespread form may become very sick,Change in mental status,Enlarged or draining lymph nodes,Joint swelling,Neck stiffness,Sensitivity to light,Weight loss,Skin lesions of valley fever are oftensign of widespread disseminated disease,With more widespread infection skin sores or lesions are most often seen on face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varicocele,Enlarged twisted veins in scrotum,Dull ache or discomfort,Painless testicle lump scrotal swelling or bulge in scrotum,Possible problems with fertility or decreased sperm count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fullness heaviness aching and sometimes pain in legs,Visible swollen veins,Smaller veins that you can see on surface of skin called spider veins,Thigh or calf cramps often at night,Mild swelling of feet or ankles,Itching,Leg swelling,Leg or calf pain after sitting or standing for long periods,Skin color changes of legs or ankles,Dry irritated scaly skin that can crack easily,Skin sores ulcers that do not heal easily,Thickening and hardening of skin in legs and ankles this can happen over time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varnish poisoning,Loss of vision,Severe pain in throat,Severe pain or burning in nose eyes ears lips or tongue,Blood in urine,Kidneys stop working kidney failure,Breathing difficulty,Throat swelling which may also cause breathing difficulty,Collapse,Low blood pressurethat develops rapidly,Coma decreased level of consciousness and lack of responsiveness,Dizziness,Impaired memory,Insomnia,Irritability,Loss of coordination,Sensationof being drunk,Severe brain damage,Sleepiness,Stupor decreased level of consciousness,Walking difficulties,Burns,Irritation,Blood in stool,Burns in esophagus,Severe abdominal pain,Vomiting,Vomiting blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular dementia,Difficulty performing tasks that used to come easily such as balancingcheckbook playing games such as bridge and learning new information or routines,Getting lost on familiar routes,Language problems such as trouble finding name of familiar objects,Losing interest in things you previously enjoyed flat mood,Misplacing items,Personality changes and loss of social skills,Change in sleep patterns often waking up at night,Difficulty doing basic tasks such as preparing meals choosing proper clothing or driving,Forgetting details about current events,Forgetting events in your own life history losing awareness of who you are,Having delusions depression or agitation,Having hallucinations arguments striking out or violent behavior,Having more difficulty reading or writing,Having poor judgment and loss of ability to recognize danger,Using wrong word not pronouncing words correctly or speaking in confusing sentences,Withdrawing from social contact,Nervous system neurologic problems that occur withstroke may also be present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
